Black Moon Creeping,,Black Moon Creeping,,TRUE
Cosmic Fiend,,Cosmic Fiend,,TRUE
Cursed Diamonds,,Cursed Diamonds,,TRUE
Girl From A Pawnshop,,Girl From A Pawnshop,,TRUE
Greasy Grass River,,Greasy Grass River,,TRUE
Hard To Handle,,Hard To Handle,,TRUE
High Head Blues,,High Head Blues,,TRUE
Lickin',,Lickin',,TRUE
Midnight From The Inside Out,,Midnight From The Inside Out,,TRUE
Miracle To Me,,Miracle To Me,,TRUE
Remedy,,Remedy,,TRUE
She Talks To Angels,,She Talks To Angels,,TRUE
Sometimes Salvation,,Sometimes Salvation,,TRUE
Soul Singing,,Soul Singing,,TRUE
Sting Me,,Sting Me,,TRUE
Thick & Thin,,Thick & Thin,,TRUE
Title Song,,Title Song,,TRUE
Twice As Hard,,Twice As Hard,,TRUE
Wiser Time,,Wiser Time,,TRUE
