album_title,track_id,track_name,minutes,seconds
Live [Disc 1],2572,Midnight From The Inside Out,4,47
Live [Disc 1],2573,Sting Me,4,28
Live [Disc 1],2574,Thick & Thin,3,43
Live [Disc 1],2575,Greasy Grass River,3,39
Live [Disc 1],2576,Sometimes Salvation,6,29
Live [Disc 1],2577,Cursed Diamonds,6,8
Live [Disc 1],2578,Miracle To Me,6,13
Live [Disc 1],2579,Wiser Time,7,40
Live [Disc 1],2580,Girl From A Pawnshop,6,45
Live [Disc 1],2581,Cosmic Fiend,5,8
Live [Disc 2],2582,Black Moon Creeping,5,59
Live [Disc 2],2583,High Head Blues,6,12
Live [Disc 2],2584,Title Song,8,26
Live [Disc 2],2585,She Talks To Angels,6,2
Live [Disc 2],2586,Twice As Hard,4,36
Live [Disc 2],2587,Lickin',5,14
Live [Disc 2],2588,Soul Singing,3,54
Live [Disc 2],2589,Hard To Handle,3,27
Live [Disc 2],2590,Remedy,5,37
