album_title,artist_name,track_name,media_type,unit_price
Revelations,Audioslave,Revelations,Protected AAC audio file,$0.99
Revelations,Audioslave,One and the Same,Protected AAC audio file,$0.99
Revelations,Audioslave,Sound of a Gun,Protected AAC audio file,$0.99
Revelations,Audioslave,Until We Fall,Protected AAC audio file,$0.99
Revelations,Audioslave,Original Fire,Protected AAC audio file,$0.99
Revelations,Audioslave,Broken City,Protected AAC audio file,$0.99
Revelations,Audioslave,Somedays,Protected AAC audio file,$0.99
Revelations,Audioslave,Shape of Things to Come,Protected AAC audio file,$0.99
Revelations,Audioslave,Jewel of the Summertime,Protected AAC audio file,$0.99
Revelations,Audioslave,Wide Awake,Protected AAC audio file,$0.99
Revelations,Audioslave,Nothing Left to Say But Goodbye,Protected AAC audio file,$0.99
Revelations,Audioslave,Moth,Protected AAC audio file,$0.99
Revelations,Audioslave,Show Me How to Live (Live at the Quart Festival),Protected AAC audio file,$0.99
Revelations,Audioslave,"Band Members Discuss Tracks from ""Revelations""",Protected MPEG-4 video file,$0.99
